SYMBOL,SECURITY,BMK WT,LDR,RTG,C,Q,V,E,M,G,VOL,ETMO,MC,FLT,ADTV,DAYS HELD,YTD PERF,P/E FY2,ROE,ANALYST,IM HOLD,
1060 HK,Alibaba Pictures Group Ltd,0.04,,,,94,,,96,,,,"4,449","1,777",6.66,0,4.0,,,,,
FROTO TI,Ford Otomotiv Sanayi As,0.02,,O,2,7,15,5,25,39,46,,"4,884","1,002",4.18,0,52.6,12.5,,Anil Daka,,
175 HK,Geely Automobile Holdings Lt,0.24,,N,6,3,64,2,15,24,79,,"21,769","12,011",150.14,0,144.1,12.4,,Andrew Siepker,,
489 HK,Dongfeng Motor Grp Co Ltd-H,0.07,Yes,N,10,43,4,39,60,68,51,,"11,229","3,722",21.68,0,28.2,5.5,,Andrew Siepker,,
1169 HK,Haier Electronics Group Co,0.07,Yes,O,10,13,33,25,30,50,34,,"7,741","3,398",11.66,0,66.1,14.1,,Dan Su,,
TOASO TI,Tofas Turk Otomobil Fabrika,0.02,,O,14,28,41,20,23,43,53,,"4,535","1,101",5.07,0,30.4,12.5,,Anil Daka,,
GENT MK,Genting Bhd,0.10,,,20,61,41,2,31,45,60,,"8,623","5,025",5.92,0,27.9,14.3,,,,
2020 HK,Anta Sports Products Ltd,0.08,,N,20,6,74,5,65,33,11,,"10,288","3,920",17.44,0,18.3,19.2,,Dan Su,,
BELA GA,Jumbo Sa,0.03,Yes,O,20,19,40,45,54,51,7,,"2,257","1,733",5.70,0,7.7,13.6,,Rita Spitz,,
KROT3 BZ,Kroton Educacional Sa,0.16,Yes,O,24,37,59,4,70,54,63,,"9,233","8,731",53.21,0,17.6,12.0,,Dan Su,,
066570 KS,Lg Electronics Inc,0.14,,,26,53,5,80,35,16,82,,"10,926","6,323",73.70,0,39.1,8.3,,,,
OPAP GA,Opap Sa,0.05,Yes,O,26,16,47,75,14,80,53,,"3,584","2,401",6.00,0,40.0,14.4,,Rita Spitz,,
030000 KS,Cheil Worldwide Inc,0.02,Yes,,28,34,49,21,62,38,44,,"1,989",968,4.64,0,32.9,16.6,,,,
425 HK,Minth Group Ltd,0.06,,O,31,29,62,24,52,23,13,,"5,006","3,022",17.06,0,50.9,13.0,,Taylor Cope,,
HMCL IN,Hero Motocorp Ltd,0.06,Yes,O,33,3,65,49,42,53,10,,"12,107","5,455",23.01,0,29.3,18.9,,Andrew Siepker,,
9904 TT,Pou Chen,0.06,,,34,54,11,57,77,61,23,,"3,839","2,626",5.71,0,11.6,7.9,,,,
018880 KS,Hanon Systems,0.04,Yes,O,34,20,46,57,82,75,12,,"5,485","1,362",11.37,0,13.3,16.8,,Greg Scolaro,,
161390 KS,Hankook Tire Co Ltd,0.08,Yes,O,37,36,30,68,59,92,12,,"6,643","3,624",11.09,0,23.2,8.3,,Anil Daka,,
ASTRO MK,Astro Malaysia Holdings Bhd,0.02,,,38,2,24,85,94,60,26,Yes,"3,237","1,362",1.18,0,4.9,18.2,,,,
MSS IN,Motherson Sumi Systems Ltd,0.06,,O,38,25,94,12,11,6,46,,"10,197","3,737",15.00,0,57.9,22.8,,Anil Daka,,
CPS PW,Cyfrowy Polsat Sa,0.03,,,38,51,29,35,74,28,56,,"4,653","2,731",3.77,0,23.4,13.4,,,,
FFGRP GA,Ff Group,0.02,,N,39,81,19,5,80,76,36,,"1,615",834,3.86,0,19.2,6.2,,Rita Spitz,,
MRP SJ,Mr Price Group Ltd,0.07,Yes,N,40,4,65,44,81,26,21,,"3,730","2,805",20.13,0,19.6,16.2,,Dan Su,,
2238 HK,Guangzhou Automobile Group-H,0.08,,N,40,56,44,25,37,26,51,,"21,148","3,991",49.11,0,81.2,8.0,,Andrew Siepker,,
TRU SJ,Truworths International Ltd,0.06,,N,43,10,41,83,84,63,14,,"2,769","2,474",16.13,0,6.3,12.3,,Rita Spitz,,
2313 HK,Shenzhou International Group,0.09,Yes,O,43,25,77,28,70,23,8,,"11,413","5,012",16.15,0,9.0,17.5,,Dan Su,,
1476 TT,Eclat Textile Company Ltd,0.04,Yes,N,45,8,81,33,76,45,46,,"3,278","2,075",15.78,0,14.9,20.5,,Dan Su,,
035250 KS,Kangwon Land Inc,0.07,,N,47,15,35,94,79,84,26,,"6,651","3,060",9.79,0,11.1,14.7,,Dan Su,,
021240 KS,Coway Co Ltd,0.09,Yes,O,49,10,77,62,54,37,10,,"6,513","4,056",12.52,0,23.4,18.5,,Dan Su,,
WHL SJ,Woolworths Holdings Ltd,0.10,Yes,N,52,14,45,82,98,54,37,Yes,"5,337","4,385",19.67,0,-3.5,14.4,,Dan Su,,
EDU,New Oriental Educatio-Sp Adr,0.23,Yes,O,52,3,94,45,21,35,17,,"12,915","12,915",103.92,0,89.6,26.6,,Dan Su,,
8464 TT,Nien Made Enterprise Co Ltd,0.03,Yes,O,52,4,79,55,75,47,16,,"3,095","1,257",6.89,0,15.9,19.3,,Rita Spitz,,
YUMC,Yum China Holdings Inc,0.29,Yes,O,52,37,67,48,51,47,16,,"14,222","13,599",120.33,0,37.4,22.5,,Vivian Lin Thurston,,
TTAN IN,Titan Co Ltd,0.06,Yes,O,52,6,98,13,27,17,26,,"8,515","3,330",21.00,0,73.4,42.9,,Dan Su,,
9910 TT,Feng Tay Enterprise Co Ltd,0.03,,N,53,8,51,89,82,55,43,,"3,098","1,429",5.72,0,20.1,17.8,,Rita Spitz,,
MSIL IN,Maruti Suzuki India Ltd,0.25,Yes,O,53,6,92,61,12,41,20,,"35,309","13,330",54.96,0,51.7,22.8,,Andrew Siepker,,
069960 KS,Hyundai Dept Store Co,0.02,,,56,59,13,84,85,59,17,,"1,969","1,083",9.99,0,11.6,7.5,,,,
TAL,Tal Education Group- Adr,0.17,Yes,O,57,12,99,23,10,26,33,,"14,976","14,976",98.11,0,118.5,56.8,,Dan Su,,
IPL SJ,Imperial Holdings Ltd,0.05,,,58,77,31,23,84,48,37,,"3,045","2,497",9.23,0,2.6,10.8,,,,
JFC PM,Jollibee Foods Corp,0.04,Yes,O,59,22,94,26,81,37,15,,"5,070","2,187",2.82,0,13.0,33.2,,Dan Su,,
200625 CH,Chongqing Changan Automobi-B,0.02,,,60,56,11,92,94,59,72,,"9,233","1,186",59.36,0,3.5,,,,,
3606 HK,Fuyao Glass Industry Group-H,0.03,,O,60,33,63,86,40,56,21,,"8,727","1,530",7.32,0,13.8,14.1,,Anil Daka,,
VIPS,Vipshop Holdings Ltd - Adr,0.08,Yes,N,60,20,53,94,91,53,60,Yes,"5,425","5,425",84.08,0,11.8,5.6,,Dan Su,,
BJAUT IN,Bajaj Auto Ltd,0.07,Yes,N,61,6,76,88,63,54,41,,"12,366","5,197",12.49,0,15.9,17.1,,Andrew Siepker,,
2207 TT,Hotai Motor Company Ltd,0.06,,,62,66,66,15,77,69,18,,"6,274","2,903",3.50,0,9.0,14.8,,,,
009240 KS,Hanssem Co Ltd,0.03,,O,62,16,86,67,77,44,43,,"3,539","1,576",12.86,0,-5.6,20.9,,Dan Su,,
BEC TB,Bec World Public Co Ltd,0.01,,N,63,8,53,97,84,86,79,Yes,920,431,4.40,0,20.8,22.2,,Greg Scolaro,,
BHFC IN,Bharat Forge Ltd,0.04,Yes,O,63,42,98,10,17,19,35,,"4,126","3,427",13.94,0,35.2,25.9,,Anil Daka,,
TTMT/A IN,Tata Motors Ltd-A-Dvr,0.03,Yes,N,64,40,26,98,86,27,79,Yes,"18,597","1,595",58.14,0,-0.1,8.7,,Andrew Siepker,,
TTMT IN,Tata Motors Ltd,0.19,Yes,N,64,40,26,98,86,27,79,Yes,"18,597","9,610",58.14,0,-0.1,8.7,,Andrew Siepker,,
LREN3 BZ,Lojas Renner S.a.,0.14,Yes,O,64,20,95,55,52,30,24,,"6,809","6,799",23.19,0,46.1,24.1,,Dan Su,,
LPP PW,Lpp Sa,0.05,,N,65,11,97,51,38,11,52,,"3,907","1,965",3.80,0,42.6,31.8,,Rita Spitz,,
000270 KS,Kia Motors Corp,0.17,,N,65,63,4,100,90,75,62,Yes,"12,692","6,979",29.12,0,2.0,5.5,,Andrew Siepker,,
MNCN IJ,Media Nusantara Citra Tbk Pt,0.01,,O,67,25,48,99,85,42,51,Yes,"1,583",645,1.51,0,5.6,11.5,,Greg Scolaro,,
ROBINS TB,Robinson Pcl,0.02,,N,68,30,87,53,87,52,13,,"1,812",595,2.94,0,-0.3,18.2,,Bryan Shea,,
FALAB CI,S.a.c.i. Falabella,0.14,Yes,O,68,55,87,31,36,55,22,,"23,588","9,718",17.82,0,17.3,24.4,,Vivian Lin Thurston,,
TFG SJ,The Foschini Group Ltd,0.05,,N,69,54,52,72,82,40,37,,"2,778","2,468",14.97,0,5.6,11.6,,Rita Spitz,,
2105 TT,Cheng Shin Rubber Ind Co Ltd,0.08,,N,70,32,53,97,81,98,67,,"6,334","3,311",9.31,0,12.8,14.6,,Anil Daka,,
SCMA IJ,Surya Citra Media Pt Tbk,0.02,Yes,N,70,4,71,95,93,40,32,Yes,"2,520",987,3.32,0,-18.6,17.0,,Greg Scolaro,,
HMPRO TB,Home Product Center Pcl,0.02,Yes,N,71,29,88,54,93,25,11,Yes,"3,876","1,135",3.91,0,5.4,24.3,,Dan Su,,
012330 KS,Hyundai Mobis Co Ltd,0.30,,N,72,69,10,98,87,91,36,Yes,"21,549","12,339",44.10,0,4.2,7.5,,Andrew Siepker,,
2333 HK,Great Wall Motor Company-H,0.08,Yes,N,72,63,33,95,59,70,46,Yes,"15,979","3,992",92.06,0,45.7,8.1,,Andrew Siepker,,
LPPF IJ,Matahari Department Store Tb,0.04,Yes,N,73,2,45,100,97,58,70,Yes,"2,307","1,904",5.39,0,-15.9,13.9,,Dan Su,,
ASII IJ,Astra International Tbk Pt,0.24,Yes,N,73,38,72,91,68,48,17,Yes,"24,045","11,985",24.33,0,-1.7,14.5,,Andrew Siepker,,
ARCLK TI,Arcelik As,0.03,,O,75,77,51,71,42,59,59,,"4,614","1,161",10.64,0,27.1,11.9,,Dan Su,,
BOS IN,Bosch Ltd,0.05,,N,76,16,99,64,52,27,17,,"10,422","2,605",6.52,0,20.5,31.8,,Andrew Siepker,,
UMWH MK,Umw Holdings Bhd,0.01,,,77,79,55,54,69,77,89,,"1,556",345,0.65,0,42.0,16.7,,,,
2915 TT,Ruentex Industries Ltd,0.02,,,78,75,51,59,91,94,79,,"1,470",807,4.54,0,-8.4,6.9,,,,
1434 TT,Formosa Taffeta Co.,0.02,,,78,85,24,88,60,50,60,,"1,713",707,1.12,0,12.9,13.3,,,,
GENM MK,Genting Malaysia Bhd,0.09,,NO,78,77,79,52,21,46,41,,"8,103","4,090",8.51,0,40.4,17.2,,Vivian Lin Thurston,,
130960 KS,Cj E&m Corp,0.02,,,79,79,53,63,79,18,77,Yes,"2,432","1,307",13.97,0,13.7,17.1,,,,
493 HK,Gome Electrical Appliances,0.03,,,82,80,41,81,89,62,73,Yes,"2,518","1,239",7.05,0,-1.1,16.5,,,,
005385 KS,Hyundai Motor Co Prf Krw5000,0.04,Yes,N,83,91,19,94,61,61,62,Yes,"2,181","2,010",70.68,0,10.9,6.6,,Andrew Siepker,,
005387 KS,Hyundai Motor Co 2nd Prf Krw5000,0.07,Yes,N,83,91,19,94,61,61,62,Yes,"3,516","3,423",70.68,0,10.9,6.6,,Andrew Siepker,,
005380 KS,Hyundai Motor Co,0.40,Yes,N,83,91,19,94,61,61,62,Yes,"28,558","16,456",70.68,0,10.9,6.6,,Andrew Siepker,,
LIVEPOLC MM,El Puerto De Liverpool-C1,0.04,,,84,60,76,76,96,56,15,,"12,185","1,878",,,14.3,19.3,,,,
1114 HK,Brilliance China Automotive,0.16,Yes,O,84,90,92,17,15,40,79,,"13,215","7,593",41.60,0,72.5,12.5,,Andrew Siepker,,
9921 TT,Giant Manufacturing,0.03,,N,84,56,52,97,97,64,45,Yes,"1,907","1,431",3.05,0,-12.5,16.5,,Rita Spitz,,
MINT TB,Minor International Pcl,0.05,,O,85,65,94,55,58,62,50,,"5,140","2,094",12.62,0,26.0,26.3,,Dan Su,,
DXBE UH,Dxb Entertainments Pjsc,0.01,,,86,,81,89,96,,100,Yes,"1,721",631,2.77,0,-41.2,-21.2,,,,
SNH SJ,Steinhoff International H Nv,0.30,Yes,N,86,64,72,90,87,12,39,,"21,329","10,141",41.41,0,0.4,11.6,,Vivian Lin Thurston,,
JD,Jd.com Inc-Adr,0.56,,N,86,85,98,10,27,26,92,,"58,725","58,725",511.88,0,77.8,53.1,,William Benton,,
TLEVICPO MM,Grupo Televisa Sab-Ser Cpo,0.25,Yes,N,87,56,95,67,85,19,45,,"15,222","15,200",11.46,0,27.9,30.9,,William Benton,,
011210 KS,Hyundai Wia Corp,0.02,,N,88,90,24,96,91,37,82,Yes,"1,768",825,13.66,0,4.2,8.8,,Greg Scolaro,,
Z IN,Zee Entertainment Enterprise,0.09,Yes,N,89,23,100,95,62,16,26,Yes,"7,735","4,285",17.77,0,26.8,27.9,,William Benton,,
MM IN,Mahindra & Mahindra Ltd,0.16,Yes,N,90,90,91,31,55,51,52,,"13,313","10,988",26.12,0,25.5,17.6,,Andrew Siepker,,
9914 TT,Merida Industry Co Ltd,0.02,Yes,N,91,62,84,98,70,55,55,Yes,"1,342",916,2.55,0,7.9,16.3,,Rita Spitz,,
004170 KS,Shinsegae Inc,0.03,,,91,87,71,87,59,57,53,,"1,706",991,10.59,0,47.7,10.0,,,,
CTRP,Ctrip.com International-Adr,0.39,Yes,O,92,93,97,15,52,27,84,,"26,781","26,781",203.78,0,49.3,28.5,,Vivian Lin Thurston,,
NPN SJ,Naspers Ltd-N Shs,1.96,Yes,O,92,85,98,33,54,15,61,,"97,246","90,268",251.71,0,48.8,27.8,,William Benton,,
008770 KS,Hotel Shilla Co Ltd,0.03,,,93,76,100,28,75,3,85,,"2,163","1,640",22.13,0,48.9,26.2,,,,
023530 KS,Lotte Shopping Co,0.06,,,94,91,55,98,54,36,77,Yes,"7,249","2,133",23.29,0,39.7,21.5,,,,
CCC PW,Ccc Sa,0.04,Yes,O,95,79,100,47,45,29,45,,"2,709","1,499",4.04,0,34.8,23.7,,Rita Spitz,,
2201 TT,Yulon Motor Company,0.01,,,96,99,71,,86,28,42,,"1,327",639,1.08,0,6.2,13.2,,,,
1211 HK,Byd Co Ltd-H,0.08,,,98,99,88,47,81,38,71,,"18,746","4,249",28.91,0,18.8,16.8,,,,
LAME4 BZ,Lojas Americanas Prf Npv,0.08,,,100,98,99,50,97,25,67,,"8,034","3,952",2.11,0,7.9,,,,,
LAME3 BZ,Lojas Americanas Sa,0.02,,,100,98,99,50,97,25,67,,"8,034",764,2.11,0,7.9,,,,,
,,,,,62,35,69,64,70,44,38,,,,,,16.1,,,,,
271560 KS,Orion Corp/republic Of Korea,0.04,,,,,,,,,55,,"3,264","1,811",,,,19.8,,,,
033780 KS,Kt&g Corp,0.23,Yes,N,5,16,13,16,74,54,7,,"13,562","9,726",29.61,0,27.4,12.4,,Vivian Lin Thurston,,
6808 HK,Sun Art Retail Group Ltd,0.05,Yes,O,7,7,37,4,80,48,25,,"9,117","1,977",9.39,0,-5.4,19.8,,Vivian Lin Thurston,,
BIMAS TI,Bim Birlesik Magazalar As,0.09,Yes,O,19,3,81,6,30,8,16,,"6,433","4,876",10.78,0,41.7,23.1,,Dan Su,,
2912 TT,President Chain Store Corp,0.09,Yes,N,22,1,66,18,50,77,44,,"8,511","4,197",14.38,0,22.6,21.6,,Vivian Lin Thurston,,
1216 TT,Uni-President Enterprises Co,0.19,Yes,N,30,10,38,66,73,66,31,,"11,328","8,835",20.63,0,16.4,21.1,,Vivian Lin Thurston,,
GGRM IJ,Gudang Garam Tbk Pt,0.05,Yes,N,31,11,42,72,53,46,21,,"10,166","2,418",6.00,0,30.4,16.8,,Vivian Lin Thurston,,
BID SJ,Bid Corp Ltd,0.16,Yes,O,33,29,44,58,45,39,14,,"7,904","6,279",21.79,0,37.4,23.0,,Dan Su,,
NATU3 BZ,Natura Cosmeticos Sa,0.03,Yes,N,38,15,59,43,89,27,54,,"3,893","1,765",19.41,0,11.4,19.8,,Dan Su,,
KOFL MM,Coca-Cola Femsa Sab-Ser L,0.09,,N,40,31,41,68,62,41,23,,"17,830","4,460",6.73,0,37.5,20.9,,Vivian Lin Thurston,,
WALMEX* MM,Walmart De Mexico Sab De Cv,0.26,Yes,N,41,3,64,63,57,48,5,,"43,175","12,738",31.61,0,35.8,22.6,,Vivian Lin Thurston,,
1044 HK,Hengan Intl Group Co Ltd,0.12,Yes,N,41,37,49,23,94,73,18,,"9,652","5,374",27.54,0,7.2,16.8,,Vivian Lin Thurston,,
ANDINAB CI,Embotella Andina Prf'b'npv,0.02,,,41,27,64,47,57,53,32,,"4,056","1,656",2.03,0,23.6,22.9,,,,
ROTH MK,British American Tobacco Bhd,0.03,,,43,3,66,44,90,58,33,,"2,947","1,225",3.29,0,7.4,18.5,,,,
CCU CI,Cia Cervecerias Unidas Sa,0.04,,N,43,26,65,64,35,47,18,,"5,185","4,831",2.57,0,32.4,22.2,,Dan Su,,
168 HK,Tsingtao Brewery Co Ltd-H,0.03,,N,44,21,62,66,66,40,33,,"6,189","1,488",3.07,0,15.7,24.7,,Dan Su,,
322 HK,Tingyi (Cayman Isln) Hldg Co,0.05,,,44,31,49,60,71,39,44,,"7,304","2,377",12.33,0,5.5,25.2,,,,
007310 KS,Ottogi Corporation,0.02,,,45,45,69,15,59,74,13,,"2,282","1,305",4.94,0,29.8,19.1,,,,
TBS SJ,Tiger Brands Ltd,0.10,Yes,N,45,7,61,64,82,52,13,,"5,845","4,635",20.40,0,9.9,16.1,,Dan Su,,
PCAR4 BZ,Cia Bras De Distri Prf Npv,0.08,,,46,62,63,7,52,23,67,,"6,646","3,483",,,39.2,23.5,,,,
SPP SJ,Spar Group Limited/the,0.05,,N,46,17,47,69,97,56,34,,"2,539","2,324",11.93,0,-10.7,15.5,,Rita Spitz,,
151 HK,Want Want China Holdings Ltd,0.07,Yes,N,49,6,52,85,77,95,20,Yes,"8,298","3,248",8.14,0,7.9,16.9,,Vivian Lin Thurston,,
MSM SJ,Massmart Holdings Ltd,0.02,,,49,26,45,78,87,49,61,,"2,070",935,3.52,0,-5.5,17.7,,,,
CPIN IJ,Charoen Pokphand Indonesi Pt,0.03,,,50,32,42,67,92,31,76,,"3,466","1,532",1.67,0,-8.7,15.4,,,,
HUVR IN,Hindustan Unilever Ltd,0.24,Yes,O,51,2,96,30,20,44,6,,"40,487","12,499",25.34,0,49.0,43.4,,Vivian Lin Thurston,,
051905 KS,Lg Household&healt Prf Krw5000,0.02,Yes,N,52,19,85,43,74,48,21,,"1,130","1,122",24.29,0,25.7,21.5,,Vivian Lin Thurston,,
051900 KS,Lg Household & Health Care,0.16,Yes,N,52,19,85,43,74,48,21,,"13,265","7,119",24.29,0,25.7,21.5,,Vivian Lin Thurston,,
FEMSAUBD MM,Fomento Economico Mexica-Ubd,0.40,Yes,O,53,29,67,60,69,38,16,,"33,985","21,890",25.41,0,33.5,22.9,,Vivian Lin Thurston,,
CCOLA TI,Coca-Cola Icecek As,0.02,,O,53,36,60,58,68,28,69,,"2,912",756,5.08,0,29.6,19.7,,Dan Su,,
LALAB MM,Grupo Lala Sab De Cv,0.02,Yes,N,56,42,73,29,78,58,23,,"4,499","1,025",4.02,0,36.8,17.9,,Dan Su,,
027410 KS,Bgf Retail Co Ltd,0.04,Yes,N,57,9,67,87,69,28,27,Yes,"3,880","2,039",28.95,0,23.2,18.5,,Dan Su,,
UNVR IJ,Unilever Indonesia Tbk Pt,0.11,Yes,O,58,3,98,15,62,45,4,,"28,177","4,229",5.85,0,27.2,45.7,,Vivian Lin Thurston,,
AC* MM,Arca Continental Sab De Cv,0.07,Yes,O,58,32,63,80,54,45,21,,"13,416","3,226",11.52,0,47.1,19.3,,Vivian Lin Thurston,,
139480 KS,E-Mart Inc,0.08,,O,61,80,46,32,23,16,28,,"5,532","3,458",19.61,0,47.0,12.7,,Dan Su,,
SHP SJ,Shoprite Holdings Ltd,0.14,Yes,N,61,27,79,71,66,42,8,,"9,861","6,272",24.78,0,26.3,17.0,,Vivian Lin Thurston,,
INDF IJ,Indofood Sukses Makmur Tbk P,0.06,,N,62,41,42,92,66,44,25,Yes,"5,478","2,735",5.73,0,12.8,15.4,,Dan Su,,
MDIA3 BZ,M Dias Branco Sa,0.03,,N,64,27,86,66,61,29,34,,"5,077","1,861",8.48,0,37.0,15.5,,Dan Su,,
MGNT LI,Magnit  Pjsc-Spon Gdr Regs,0.24,Yes,O,65,31,66,77,91,59,50,,"15,315","9,774",14.51,0,-9.2,13.6,,Vivian Lin Thurston,,
GRUMAB MM,Gruma S.a.b.-B,0.06,,N,66,26,71,80,92,56,52,Yes,"6,243","2,973",10.95,0,10.7,16.9,,Dan Su,,
1227 TT,Standard Foods Corp,0.03,,,66,24,89,63,73,45,11,,"2,314","1,482",2.86,0,12.4,20.7,,,,
ABEV3 BZ,Ambev Sa,0.60,Yes,O,67,5,86,82,75,68,36,,"98,492","27,249",74.16,0,21.8,22.3,,Vivian Lin Thurston,,
ICBP IJ,Indofood Cbp Sukses Makmur T,0.03,,N,67,11,77,89,85,38,6,Yes,"7,626","1,485",3.51,0,1.7,23.9,,Dan Su,,
2319 HK,China Mengniu Dairy Co,0.12,Yes,N,67,34,80,65,77,13,69,,"8,497","5,785",19.97,0,3.4,19.2,,Vivian Lin Thurston,,
007070 KS,Gs Retail Co Ltd,0.02,,O,68,41,52,92,69,76,54,Yes,"2,767",776,13.85,0,9.8,15.7,,Dan Su,,
HMSP IJ,Hm Sampoerna Tbk Pt,0.05,Yes,N,68,1,89,71,87,48,17,Yes,"31,470","2,360",5.27,0,-0.9,30.4,,Vivian Lin Thurston,,
ULKER TI,Ulker Biskuvi Sanayi,0.02,Yes,O,69,52,74,51,69,14,74,,"2,114","1,503",4.39,0,32.2,17.5,,Bryan Shea,,
BIMBOA MM,Grupo Bimbo Sab- Series A,0.08,Yes,N,70,30,64,90,92,15,52,,"11,645","3,825",6.74,0,12.1,21.0,,Vivian Lin Thurston,,
PIK SJ,Pick N Pay Stores Ltd,0.04,,N,70,23,79,85,92,29,48,,"2,403","1,492",6.95,0,4.2,18.9,,Rita Spitz,,
AEFES TI,Anadolu Efes Biracilik Ve,0.03,,,71,63,39,86,71,42,66,,"3,637","1,198",3.02,0,19.0,20.5,,,,
JBSS3 BZ,Jbs Sa,0.04,Yes,N,71,71,20,82,95,3,85,Yes,"6,952","2,472",45.56,0,-30.3,6.1,,Vivian Lin Thurston,,
KIMBERA MM,Kimberly-Clark De Mexico-A,0.06,Yes,N,72,25,70,95,88,55,22,Yes,"6,400","3,002",6.34,0,14.1,21.2,,Dan Su,,
ITC IN,Itc Ltd,0.30,Yes,O,74,2,90,96,35,44,4,,"53,712","29,367",78.72,0,29.5,25.7,,Vivian Lin Thurston,,
PEP MK,Ppb Group Berhad,0.04,,,74,80,78,17,53,47,20,,"4,602","1,309",2.43,0,12.4,17.7,,,,
026960 KS,Dongsuh Companies Inc,0.02,,,76,60,81,,68,24,,,"2,374","1,064",3.33,0,15.1,,,,,
IOI MK,Ioi Corp Bhd,0.05,,,76,56,84,51,74,49,44,,"6,605","2,224",2.56,0,7.5,23.2,,,,
MRCO IN,Marico Ltd,0.04,,N,76,9,99,81,31,44,26,,"6,341","2,209",7.06,0,36.0,38.4,,Dan Su,,
291 HK,China Resources Beer Holdin,0.08,,N,77,47,77,86,62,33,49,,"8,240","3,959",10.89,0,27.7,25.4,,Dan Su,,
GCPL IN,Godrej Consumer Products Ltd,0.07,,O,77,34,94,86,30,34,20,,"9,415","3,207",13.06,0,48.6,35.4,,Dan Su,,
CPALL TB,Cp All Pcl,0.18,Yes,O,77,42,92,58,73,10,24,,"16,548","8,223",24.51,0,6.6,24.0,,Vivian Lin Thurston,,
002790 KS,Amorepacific Group,0.07,,,77,18,74,100,87,65,47,Yes,"9,272","2,908",13.39,0,1.6,31.2,,,,
KLK MK,Kuala Lumpur Kepong Bhd,0.05,,O,78,71,72,63,49,88,31,,"6,045","1,607",6.57,0,10.0,21.4,,Taylor Cope,,
NEST IN,Nestle India Ltd,0.05,Yes,N,79,1,99,76,50,28,35,,"9,929","3,199",4.78,0,19.7,43.7,,Vivian Lin Thurston,,
EUR PW,Eurocash Sa,0.02,,N,80,36,73,94,96,42,63,,"1,390",736,4.18,0,6.2,22.6,,Bryan Shea,,
PFG SJ,Pioneer Foods Group Ltd,0.03,,N,80,38,70,95,95,68,72,Yes,"2,294","1,074",3.62,0,-1.8,14.6,,Rita Spitz,,
URC PM,Universal Robina Corp,0.05,Yes,N,81,40,87,84,90,30,57,Yes,"6,494","2,862",5.26,0,-2.0,24.9,,Vivian Lin Thurston,,
DABUR IN,Dabur India Ltd,0.05,,N,81,9,100,75,57,45,18,,"8,270","3,679",7.42,0,18.5,32.9,,Vivian Lin Thurston,,
CENCOSUD CI,Cencosud Sa,0.09,,N,83,86,61,46,87,72,63,,"8,572","4,133",11.15,0,4.0,17.2,,Vivian Lin Thurston,,
