SYMBOL,COMPANY,LDR,RTG,C,Q,V,E,M,G,VOL,ETMO,MC,FLT,ADTV,DAYS HELD,YTD PERF,P/E FY2,ROE,ANALYST,IM HOLD,
FROTO TI,Ford Otomotiv Sanayi As,,O,1,,,,,40,42,,"4,654",954,"4,189,594.21",0.00,52.6,,,Anil Daka,,
1808 JP,Haseko Corp,,O,1,,,,,79,58,,"3,543","3,362","26,086,913.36",0.00,25.2,,,Alaina Anderson,,
TW/ LN,Taylor Wimpey Plc,,O,1,,,,,62,64,,"8,103","8,090","65,058,732.67",0.00,37.1,,,Alaina Anderson,,
INCH LN,Inchcape Plc,,O,2,,,,,50,24,,"4,525","4,444","19,513,276.96",0.00,23.6,,,Anil Daka,,
ML FP,Cie Generale Des Etablissements Michelin,Yes,O,3,,,,,66,26,,"24,847","24,137","128,726,840.74",0.00,24.4,,,Andrew Siepker,,
HCAR PA,Honda Atlas Cars Pakistan Ltd,,O,3,,,,,31,83,,853,155,"561,824.91",0.00,-2.1,,,Greg Scolaro,,
LNR CN,Linamar Corp,,O,3,,,,,52,20,,"3,482","2,412","13,666,199.57",0.00,10.8,,,Anil Daka,,
SSPG LN,Ssp Group Plc,,O,7,,,,,44,11,,"3,291","3,127","12,226,783.03",0.00,40.8,,,Rita Spitz,,
POM FP,Cie Plastic Omnium Sa,,O,7,,,,,30,14,,"5,808","2,219","14,413,770.91",0.00,21.3,,,Anil Daka,,
7458 JP,Daiichikosho Co Ltd,,O,7,,,,,43,2,,"2,836","1,905","5,795,918.77",0.00,22.0,,,Drew Buckley,,
CCL LN,Carnival Plc,Yes,O,10,,,,,49,12,,"49,883","12,873","66,317,449.90",0.00,32.3,,,Vivian Lin Thurston,,
TOASO TI,Tofas Turk Otomobil Fabrikasi As,,O,11,,,,,43,53,,"4,472","1,086","5,304,594.21",0.00,30.4,,,Anil Daka,,
080160 KS,Modetour Network Inc,,O,13,,,,,15,68,,469,279,"4,197,777.68",0.00,59.8,,,Bryan Shea,,
GRG LN,Greggs Plc,,O,13,,,,,66,2,,"1,536","1,532","5,633,487.79",0.00,23.0,,,Rita Spitz,,
7832 JP,Bandai Namco Holdings Inc,,O,13,,,,,51,35,,"7,253","6,128","25,177,815.88",0.00,28.0,,,Dan Su,,
FR FP,Valeo Sa,Yes,O,14,,,,,39,33,,"16,260","15,788","100,484,931.12",0.00,23.5,,,Andrew Siepker,,
7276 JP,Koito Manufacturing Co Ltd,Yes,O,14,,,,,43,48,,"9,824","7,241","22,617,138.99",0.00,9.0,,,Andrew Siepker,,
HFD LN,Halfords Group Plc,,O,14,,,,,86,15,,813,812,"4,356,747.89",0.00,-0.5,,,Rita Spitz,,
HD,Home Depot Inc/the,Yes,O,14,,,,,40,7,,"182,023","181,825","755,397,120.00",0.00,11.8,,,Vivian Lin Thurston,,
NRE1V FH,Nokian Renkaat Oyj,Yes,O,16,,,,,71,20,,"5,815","4,894","37,554,686.86",0.00,14.8,,,Anil Daka,,
BC,Brunswick Corp/de,Yes,O,17,,,,,43,36,,"4,934","4,884","56,504,800.00",0.00,4.3,,,Anil Daka,,
MC FP,Lvmh Moet Hennessy Louis Vuitton Se,Yes,O,19,,,,,44,10,,"130,007","68,173","281,369,366.00",0.00,32.5,,,Vivian Lin Thurston,,
6758 JP,Sony Corp,,O,21,,,,,10,69,,"49,346","49,223","227,063,628.16",0.00,45.9,,,William Benton,,
6923 JP,Stanley Electric Co Ltd,,O,21,,,,,41,23,,"5,800","4,872","15,686,128.16",0.00,20.6,,,Anil Daka,,
BELA GA,Jumbo Sa,Yes,O,21,,,,,51,9,,"2,387","1,833","5,731,337.41",0.00,7.7,,,Rita Spitz,,
2723 TT,Gourmet Master Co Ltd,,O,23,,,,,21,8,,"1,887",848,"3,339,865.60",0.00,61.8,,,Rita Spitz,,
8227 JP,Shimamura Co Ltd,,O,25,,,,,76,19,,"4,581","2,900","25,936,732.85",0.00,-0.8,,,Dan Su,,
OPAP GA,Opap Sa,Yes,O,25,,,,,81,55,,"3,629","2,431","5,943,040.23",0.00,40.0,,,Rita Spitz,,
KROT3 BZ,Kroton Educacional Sa,Yes,O,26,,,,,55,63,,"9,103","8,566","52,007,133.50",0.00,17.6,,,Dan Su,,
BRE IM,Brembo Spa,Yes,O,26,,,,,63,42,,"5,042","2,234","10,144,237.54",0.00,28.3,,,Taylor Cope,,
CINE LN,Cineworld Group Plc,Yes,O,26,,,,,38,7,,"2,503","1,777","7,231,336.96",0.00,30.8,,,Rita Spitz,,
CPG LN,Compass Group Plc,Yes,O,27,,,,,52,7,,"33,932","33,875","111,237,904.00",0.00,15.7,,,Vivian Lin Thurston,,
MGLU3 BZ,Magazine Luiza Sa,,O,27,,,,,23,96,,"3,344",821,"13,501,270.46",0.00,258.3,,,Bryan Shea,,
DPZ,Domino's Pizza Inc,Yes,O,27,,,,,22,13,,"9,056","9,010","185,094,304.00",0.00,15.5,,,Rita Spitz,,
BWY LN,Bellway Plc,,O,30,,,,,41,53,,"5,017","4,996","30,842,143.88",0.00,37.0,,,Alaina Anderson,,
RACE,Ferrari Nv,,O,31,,,,,46,43,,"20,964","13,772","68,549,328.00",0.00,83.6,,,Andrew Siepker,,
HMCL IN,Hero Motocorp Ltd,Yes,O,31,,,,,57,10,,"12,519","5,640","23,012,917.18",0.00,29.3,,,Andrew Siepker,,
HUSQB SS,Husqvarna Ab,,O,31,,,,,40,26,,"5,733","3,928","24,382,956.96",0.00,29.8,,,Anil Daka,,
THULE SS,Thule Group Ab,Yes,O,32,,,,,57,4,,"1,979","1,948","4,406,122.18",0.00,30.7,,,Rita Spitz,,
SMWH LN,Wh Smith Plc,,O,32,,,,,71,4,,"2,607","2,588","13,816,400.87",0.00,22.5,,,Rita Spitz,,
BIL IN,Balkrishna Industries Ltd,,O,32,,,,,51,45,,"2,339",814,"4,020,435.25",0.00,55.0,,,Bryan Shea,,
PSM GR,Prosiebensat.1 Media Se,Yes,O,33,,,,,68,26,,"9,295","9,176","80,517,608.64",0.00,6.9,,,William Benton,,
ACES IJ,Ace Hardware Indonesia Tbk Pt,,O,34,,,,,30,24,,"1,378",552,"1,084,428.74",0.00,39.7,,,Rita Spitz,,
018880 KS,Hanon Systems,Yes,O,34,,,,,75,13,,"5,120","1,272","10,666,222.85",0.00,13.3,,,Greg Scolaro,,
AGL IM,Autogrill Spa,Yes,O,37,,,,,64,39,,"3,245","1,615","11,111,172.62",0.00,31.7,,,Rita Spitz,,
161390 KS,Hankook Tire Co Ltd,Yes,O,38,,,,,91,12,,"6,706","3,659","11,231,412.05",0.00,23.2,,,Anil Daka,,
ADS GR,Adidas Ag,,O,39,,,,,14,42,,"47,298","44,856","224,296,649.15",0.00,44.4,,,Vivian Lin Thurston,,
BRBY LN,Burberry Group Plc,Yes,O,40,,,,,70,21,,"9,806","8,995","70,311,541.88",0.00,23.8,,,Vivian Lin Thurston,,
A3M SM,Atresmedia Corp De Medios De Comunicacion Sa,,O,41,,,,,50,51,,"2,634",566,"10,478,876.65",0.00,7.5,,,Drew Buckley,,
WPP LN,Wpp Plc,Yes,O,42,,,,,56,2,,"26,264","25,729","157,627,653.14",0.00,-7.3,,,William Benton,,
ARCO,Arcos Dorados Holdings Inc,,O,42,,,,,87,76,,"1,854","1,087","5,712,977.50",0.00,65.7,,,Rita Spitz,,
EVD GR,Cts Eventim Ag & Co Kgaa,Yes,O,42,,,,,32,8,,"4,336","2,460","11,161,567.63",0.00,49.0,,,Drew Buckley,,
BEAUTY TB,Beauty Community Pcl,,O,43,,,,,3,31,,"1,200",720,"7,649,399.22",0.00,9.0,,,Bryan Shea,,
DOL CN,Dollarama Inc,Yes,O,44,,,,,32,17,,"10,984","10,110","45,114,599.49",0.00,15.8,,,Dan Su,,
MSS IN,Motherson Sumi Systems Ltd,,O,44,,,,,7,40,,"10,885","3,989","14,975,075.11",0.00,57.9,,,Anil Daka,,
CVCB3 BZ,Cvc Brasil Operadora E Agencia De Viagens Sa,,O,45,,,,,33,49,,"1,453","1,445","9,284,017.49",0.00,54.4,,,Rita Spitz,,
MEGACPO MM,Megacable Holdings Sab De Cv,,O,48,,,,,66,15,,"3,707","3,703","3,119,104.26",0.00,26.6,,,Drew Buckley,,
021240 KS,Coway Co Ltd,Yes,O,48,,,,,36,10,,"6,619","4,123","19,423,326.91",0.00,23.4,,,Dan Su,,
SUNTV IN,Sun Tv Network Ltd,Yes,O,49,,,,,31,6,,"4,597",936,"15,914,976.52",0.00,73.6,,,William Benton,,
TTAN IN,Titan Co Ltd,Yes,O,51,,,,,17,27,,"8,686","3,397","20,717,002.75",0.00,73.4,,,Dan Su,,
NKE,Nike Inc,Yes,O,51,,,,,63,11,,"96,087","75,338","547,052,480.00",0.00,16.2,,,Vivian Lin Thurston,,
3092 JP,Start Today Co Ltd,Yes,O,52,,,,,43,32,,"9,647","5,478","49,509,458.48",0.00,64.0,,,Dan Su,,
8464 TT,Nien Made Enterprise Co Ltd,Yes,O,53,,,,,46,16,,"3,089","1,254","6,707,869.68",0.00,15.9,,,Rita Spitz,,
MSIL IN,Maruti Suzuki India Ltd,Yes,O,53,,,,,41,23,,"36,259","13,688","56,309,170.61",0.00,51.7,,,Andrew Siepker,,
MRF IN,Mrf Ltd,Yes,O,54,,,,,37,37,,"4,349","3,084","16,737,561.13",0.00,49.6,,,Greg Scolaro,,
TED LN,Ted Baker Plc,,O,54,,,,,38,3,,"1,384",896,"4,045,940.97",0.00,-3.7,,,Rita Spitz,,
9938 TT,Taiwan Paiho Ltd,,O,54,,,,,33,22,,"1,227",836,"4,399,173.17",0.00,41.7,,,Bryan Shea,,
009240 KS,Hanssem Co Ltd,,O,57,,,,,45,42,,"3,515","1,565","12,363,156.97",0.00,-5.6,,,Dan Su,,
8273 JP,Izumi Co Ltd,,O,57,,,,,34,16,,"3,855","1,853","8,672,262.64",0.00,20.9,,,Dan Su,,
CENTEL TB,Central Plaza Hotel Pcl,,O,58,,,,,47,46,,"1,622",579,"3,478,368.88",0.00,11.3,,,Rita Spitz,,
SGR AU,Star Entertainment Grp Ltd/the,,O,59,,,,,71,26,,"3,346","3,342","19,492,506.72",0.00,10.7,,,Rita Spitz,,
JFC PM,Jollibee Foods Corp,Yes,O,60,,,,,38,16,,"5,040","2,174","2,824,960.56",0.00,13.0,,,Dan Su,,
9843 JP,Nitori Holdings Co Ltd,Yes,O,60,,,,,33,7,,"16,722","11,678","61,419,025.27",0.00,23.0,,,Vivian Lin Thurston,,
SK FP,Seb Sa,,O,60,,,,,22,15,,"9,013","7,282","16,258,459.05",0.00,31.6,,,Dan Su,,
MRVE3 BZ,Mrv Engenharia E Participacoes Sa,,O,60,,,,,57,35,,"1,843",999,"16,779,893.63",0.00,41.1,,,Alaina Anderson,,
UBM LN,Ubm Plc,,O,61,,,,,49,21,,"3,588","3,574","15,891,750.65",0.00,4.7,,,Drew Buckley,,
BHFC IN,Bharat Forge Ltd,Yes,O,62,,,,,14,36,,"4,308","3,578","14,024,300.66",0.00,35.2,,,Anil Daka,,
ALSEA* MM,Alsea Sab De Cv,Yes,O,63,,,,,7,71,,"3,177","1,971","5,222,421.24",0.00,32.7,,,Rita Spitz,,
016170 KS,Loen Entertainment Inc,,O,64,,,,,17,45,,"1,823",588,"1,761,863.17",0.00,25.4,,,Rita Spitz,,
MTN,Vail Resorts Inc,Yes,O,65,,,,,18,38,,"8,864","8,761","73,977,288.00",0.00,32.8,,,Rita Spitz,,
LREN3 BZ,Lojas Renner Sa,Yes,O,66,,,,,29,26,,"6,905","5,854","24,743,329.70",0.00,46.1,,,Dan Su,,
RMS FP,Hermes International,Yes,O,68,,,,,52,2,,"54,563","13,262","78,056,717.50",0.00,23.5,,,Vivian Lin Thurston,,
MNCN IJ,Media Nusantara Citra Tbk Pt,,O,70,,,,,41,51,,"1,595",650,"1,581,793.92",0.00,5.6,,,Greg Scolaro,,
FALAB CI,Saci Falabella,Yes,O,70,,,,,55,22,,"23,252","9,579","17,917,326.07",0.00,17.3,,,Vivian Lin Thurston,,
ARCLK TI,Arcelik As,,O,70,,,,,59,60,,"4,717","1,186","10,900,156.07",0.00,27.1,,,Dan Su,,
AMZN,Amazon.com Inc,Yes,O,72,,,,,39,82,,"469,898","391,370","3,923,836,928.00",0.00,36.0,,,Vivian Lin Thurston,,
SFER IM,Salvatore Ferragamo Spa,,O,75,,,,,76,23,,"4,891","1,772","27,020,599.01",0.00,24.1,,,Dan Su,,
PAG IN,Page Industries Ltd,Yes,O,76,,,,,11,18,,"2,968","1,148","5,084,234.03",0.00,28.3,,,Rita Spitz,,
MINT TB,Minor International Pcl,,O,80,,,,,62,51,,"5,266","2,136","12,410,856.11",0.00,26.0,,,Dan Su,,
1527 TT,Basso Industry Corp,,O,81,,,,,67,74,,418,317,"2,005,744.64",0.00,-5.2,,,Rita Spitz,,
CROMPTON IN,Crompton Greaves Consumer Electricals Ltd,Yes,O,82,,,,,37,31,,"2,198","1,217","3,362,470.43",0.00,52.5,,,Rita Spitz,,
CEAT IN,Ceat Ltd,,O,83,,,,,48,74,,"1,080",488,"29,481,855.55",0.00,69.5,,,Greg Scolaro,,
1536 TT,Hota Industrial Manufacturing Co Ltd,,O,83,,,,,26,72,,"1,075",849,"10,540,606.78",0.00,19.2,,,Greg Scolaro,,
DUFN VX,Dufry Ag,,O,84,,,,,16,45,,"8,506","3,889","70,021,675.38",0.00,27.1,,,Dan Su,,
MWG VN,Mobile World Investment Corp,Yes,O,90,,,,,12,67,,"1,454","1,031","1,622,042.46",0.00,30.8,,,Bryan Shea,,
JUBI IN,Jubilant Foodworks Ltd,Yes,O,91,,,,,13,68,,"1,432",707,"19,445,048.41",0.00,62.7,,,Rita Spitz,,
DMP AU,Domino's Pizza Enterprises Ltd,Yes,O,91,,,,,13,22,,"3,118","2,092","23,023,216.95",0.00,-8.3,,,Dan Su,,
FRETAIL IN,Future Retail Ltd,,O,92,,,,,26,70,,"3,616",887,"5,853,695.72",0.00,240.3,,,Bryan Shea,,
NPN SJ,Naspers Ltd,Yes,O,92,,,,,14,60,,"95,882","89,002","246,870,089.83",0.00,48.8,,,William Benton,,
NFLX,Netflix Inc,Yes,O,93,,,,,30,74,,"73,389","71,356","1,153,410,048.00",0.00,48.7,,,Vivian Lin Thurston,,
CCC PW,Ccc Sa,Yes,O,95,,,,,27,46,,"2,679","1,482","4,366,268.80",0.00,34.8,,,Rita Spitz,,
PVRL IN,Pvr Ltd,Yes,O,98,,,,,11,62,,968,620,"5,299,202.37",0.00,23.6,,,Rita Spitz,,
MMYT,Makemytrip Ltd,Yes,O,99,,,,,25,97,,"2,773","1,452","17,790,560.00",0.00,47.7,,,Rita Spitz,,
,,,,54,,,,,39,28,,,,,,26.6,,,,,
CRFB3 BZ,Atacadao Distribuicao Comercio E Industria Ltda,Yes,O,,,,,,,,,"9,429","1,409",,,-3.1,,,Vivian Lin Thurston,,
4452 JP,Kao Corp,Yes,O,16,,,,,55,11,,"30,142","29,272","106,138,357.40",0.00,30.1,,,Vivian Lin Thurston,,
DGE LN,Diageo Plc,Yes,O,20,,,,,67,3,,"84,074","84,021","205,129,165.54",0.00,24.2,,,Vivian Lin Thurston,,
ULVR LN,Unilever Plc,Yes,O,21,,,,,50,12,,"173,807","68,683","223,318,788.53",0.00,41.8,,,Vivian Lin Thurston,,
BATS LN,British American Tobacco Plc,Yes,O,24,,,,,47,5,,"145,508","145,447","593,565,535.26",0.00,16.6,,,Vivian Lin Thurston,,
UN,Unilever Nv,Yes,O,24,,,,,48,11,,"164,606","164,606","82,242,232.00",0.00,43.2,,,Vivian Lin Thurston,,
4927 JP,Pola Orbis Holdings Inc,,O,27,,,,,29,37,,"7,000","3,647","27,309,972.92",0.00,36.2,,,Dan Su,,
RBREW DC,Royal Unibrew A/s,,O,28,,,,,59,30,,"2,622","2,078","7,384,086.24",0.00,31.8,,,Rita Spitz,,
BIMAS TI,Bim Birlesik Magazalar As,Yes,O,29,,,,,10,7,,"6,044","4,581","10,222,843.36",0.00,41.7,,,Dan Su,,
VNM VN,Vietnam Dairy Products Jsc,Yes,O,34,,,,,31,9,,"9,419","5,444","4,233,342.43",0.00,23.7,,,Dan Su,,
BID SJ,Bid Corp Ltd,Yes,O,35,,,,,39,14,,"7,799","6,196","22,663,269.98",0.00,37.4,,,Dan Su,,
COST,Costco Wholesale Corp,Yes,O,35,,,,,50,2,,"70,070","68,890","655,432,576.00",0.00,-0.1,,,Vivian Lin Thurston,,
4912 JP,Lion Corp,,O,36,,,,,42,45,,"5,785","4,791","26,443,916.97",0.00,28.8,,,Dan Su,,
AVI SJ,Avi Ltd,,O,42,,,,,46,2,,"2,625","2,198","5,190,448.42",0.00,15.8,,,Rita Spitz,,
HUVR IN,Hindustan Unilever Ltd,Yes,O,47,,,,,44,6,,"40,023","12,355","26,460,521.75",0.00,49.0,,,Vivian Lin Thurston,,
MGROS TI,Migros Ticaret As,,O,47,,,,,1,79,,"1,478",515,"3,201,637.34",0.00,69.9,,,Bryan Shea,,
004370 KS,Nongshim Co Ltd,,O,47,,,,,95,44,,"1,777",776,"5,220,424.84",0.00,3.1,,,Rita Spitz,,
CCOLA TI,Coca-Cola Icecek As,,O,49,,,,,29,70,,"2,890",750,"5,194,724.74",0.00,29.6,,,Dan Su,,
2502 JP,Asahi Group Holdings Ltd,Yes,O,50,,,,,49,25,,"20,291","17,036","55,379,837.54",0.00,29.2,,,Vivian Lin Thurston,,
FEMSAUBD MM,Fomento Economico Mexicano Sab De Cv,Yes,O,50,,,,,38,16,,"34,062","21,784","25,949,991.25",0.00,33.5,,,Vivian Lin Thurston,,
FEVR LN,Fevertree Drinks Plc,,O,51,,,,,26,81,,"3,578","2,869","27,013,914.10",0.00,99.8,,,Rita Spitz,,
NESN VX,Nestle Sa,Yes,O,53,,,,,81,7,,"261,181","259,530","986,768,276.43",0.00,20.9,,,Vivian Lin Thurston,,
FIVE LI,X5 Retail Group Nv,,O,54,,,,,1,59,,"2,648","2,648","17,007,650.00",0.00,19.1,,,Vivian Lin Thurston,,
DCP SJ,Dis-Chem Pharmacies Ltd,Yes,O,56,,,,,6,20,,"1,939",460,"2,167,786.67",0.00,32.5,,,Rita Spitz,,
AC* MM,Arca Continental Sab De Cv,Yes,O,56,,,,,44,21,,"13,527","3,247","11,599,455.83",0.00,47.1,,,Vivian Lin Thurston,,
GNC LN,Greencore Group Plc,Yes,O,59,,,,,58,24,,"2,016","2,009","19,003,861.45",0.00,-1.2,,,Rita Spitz,,
UNVR IJ,Unilever Indonesia Tbk Pt,Yes,O,59,,,,,45,5,,"28,145","4,224","6,000,672.70",0.00,27.2,,,Vivian Lin Thurston,,
139480 KS,E-Mart Inc,,O,60,,,,,16,28,,"5,665","3,541","19,149,132.80",0.00,47.0,,,Dan Su,,
007070 KS,Gs Retail Co Ltd,,O,61,,,,,78,50,,"2,759",773,"13,446,837.77",0.00,9.8,,,Dan Su,,
OR FP,L'oreal Sa,Yes,O,61,,,,,70,1,,"115,610","51,064","191,654,475.02",0.00,15.1,,,Vivian Lin Thurston,,
CLS SJ,Clicks Group Ltd,Yes,O,62,,,,,25,5,,"2,685","2,413","5,831,190.54",0.00,38.4,,,Rita Spitz,,
3391 JP,Tsuruha Holdings Inc,,O,63,,,,,45,6,,"5,700","4,095","22,156,759.93",0.00,12.9,,,Rita Spitz,,
THBEV SP,Thai Beverage Pcl,Yes,O,64,,,,,30,21,,"17,174","5,537","14,537,046.93",0.00,22.4,,,Vivian Lin Thurston,,
4922 JP,Kose Corp,,O,65,,,,,38,20,,"7,115","3,346","27,049,079.42",0.00,35.1,,,Dan Su,,
8436 TT,Tci Co Ltd,,O,65,,,,,23,44,,496,380,"5,360,305.70",0.00,39.9,,,Bryan Shea,,
RRHI PM,Robinsons Retail Holdings Inc,,O,66,,,,,34,18,,"2,374",952,"1,825,366.25",0.00,16.0,,,Bryan Shea,,
ABEV3 BZ,Ambev Sa,Yes,O,67,,,,,65,36,,"98,280","27,177","78,351,025.05",0.00,21.8,,,Vivian Lin Thurston,,
KLK MK,Kuala Lumpur Kepong Bhd,,O,72,,,,,88,28,,"6,071","1,616","6,526,692.26",0.00,10.0,,,Taylor Cope,,
MGNT RM,Magnit Pjsc,Yes,O,73,,,,,57,44,,"15,095","9,633","14,713,846.24",0.00,-9.2,,,Vivian Lin Thurston,,
ITC IN,Itc Ltd,Yes,O,73,,,,,44,4,,"52,974","28,960","79,445,796.56",0.00,29.5,,,Vivian Lin Thurston,,
CPALL TB,Cp All Pcl,Yes,O,77,,,,,11,24,,"16,595","8,245","26,326,626.61",0.00,6.6,,,Vivian Lin Thurston,,
GCPL IN,Godrej Consumer Products Ltd,,O,78,,,,,32,20,,"9,790","3,335","13,527,133.87",0.00,48.6,,,Dan Su,,
ABI BB,Anheuser-Busch Inbev Sa/nv,Yes,O,80,,,,,30,29,,"236,804","93,521","275,675,261.29",0.00,16.7,,,Vivian Lin Thurston,,
BRIT IN,Britannia Industries Ltd,Yes,O,81,,,,,23,33,,"8,046","3,621","9,431,531.94",0.00,44.0,,,Dan Su,,
AGRO,Adecoagro Sa,Yes,O,81,,,,,3,88,,"1,215","1,205","8,485,398.00",0.00,-3.5,,,Rita Spitz,,
PGOLD PM,Puregold Price Club Inc,,O,84,,,,,39,4,,"2,593",846,"1,575,324.18",0.00,19.9,,,Bryan Shea,,
ULKER TI,Ulker Biskuvi Sanayi As,Yes,O,85,,,,,18,75,,"1,980","1,407","4,411,759.36",0.00,32.2,,,Bryan Shea,,
RADL3 BZ,Raia Drogasil Sa,Yes,O,91,,,,,7,47,,"7,262","5,026","26,196,338.56",0.00,15.7,,,Dan Su,,
PRMW,Primo Water Corp,,SS,98,,,,,,96,,373,321,"2,702,871.00",0.00,6.4,,,Henry Baby,,
,,,,72,,,,,40,74,,,,,,-6.7,,,,,
TUPRS TI,Tupras Turkiye Petrol Rafinerileri As,,O,4,,,,,32,83,,"8,030","3,935","27,115,632.80",0.00,63.3,,,William DeAllaume,,
PLNG IN,Petronet Lng Ltd,Yes,O,27,,,,,32,49,,"5,368","2,684","27,458,109.77",0.00,16.5,,,William DeAllaume,,
PETR3 BZ,Petroleo Brasileiro Sa,Yes,O,45,,,,,61,76,,"55,118","11,565","35,508,104.10",0.00,-16.8,,,William DeAllaume,,
RDSA NA,Royal Dutch Shell Plc,Yes,O,47,,,,,42,69,,"227,019","116,397","379,210,449.32",0.00,5.1,,,William DeAllaume,,
FP FP,Total Sa,Yes,O,49,,,,,69,48,,"126,029","125,492","579,322,339.39",0.00,0.9,,,William DeAllaume,,
